|e4|c5;e5|B00 King's Pawn
---|d5|exd5;d3|B22 Sicilian Defense: Alapin Variation
----|exd5|Qxd5;Nf6|B22 Sicilian Defense: Alapin Variation
-----|Qxd5|d4;Nf3|B22 Sicilian Defense: Alapin Variation, Barmen Defense
------|d4|Nf6;Nc6|B22 Sicilian Defense: Alapin Variation, Barmen Defense
-------|Nf6|Nf3;Be3|B22 Sicilian Defense: Alapin Variation, Barmen Defense
--------|Nf3|Bg4|B22 Sicilian Defense: Alapin Variation, Barmen Defense
---------|Bg4||B22 Sicilian Defense: Alapin Variation, Barmen Defense
--------|Be3||B22 Sicilian Defense: Alapin Variation, Barmen Defense
-------|Nc6||B22 Sicilian Defense: Alapin Variation, Barmen Defense
------|Nf3||B22 Sicilian Defense: Alapin Variation, Barmen Defense
-----|Nf6||B22 Sicilian Defense: Alapin Variation
----|d3||B22 Sicilian Defense: Alapin Variation
---|e6||B22 Sicilian Defense: Alapin Variation
--|d3||B20 Sicilian Defense
-|e5|Nf3|C20 King's Pawn Game
--|Nf3|Nc6|C40 King's Knight Opening
---|Nc6|Bb5|C44 King's Knight Opening: Normal Variation
----|Bb5|a6|C60 Ruy Lopez
-----|a6|Ba4|C70 Ruy Lopez: Morphy Defense
------|Ba4|Nf6|C70 Ruy Lopez: Morphy Defense
-------|Nf6|O-O|C70 Ruy Lopez: Morphy Defense
--------|O-O|Be7;b5|C78 Ruy Lopez: Morphy Defense
---------|Be7|Re1;d3|C84 Ruy Lopez: Closed
----------|Re1|b5;d6|C84 Ruy Lopez: Closed
-----------|b5|Bb3;c3|C84 Ruy Lopez: Closed
------------|Bb3|d6;O-O;Bb7|C88 Ruy Lopez: Closed
-------------|d6|c3;a4|C88 Ruy Lopez: Closed
--------------|c3|O-O;Na5|C88 Ruy Lopez: Closed
---------------|O-O|h3;d4|C90 Ruy Lopez: Closed, Closed Defense
----------------|h3|Na5;Nb8;Bb7;Re8|C92 Ruy Lopez: Closed
-----------------|Na5|Bc2;d4|C92 Ruy Lopez: Closed
------------------|Bc2|c5;d5|C96 Ruy Lopez: Closed, Closed Defense
-------------------|c5|d4;d3|C96 Ruy Lopez: Closed, Closed Defense
--------------------|d4|Qc7;Nd7|C96 Ruy Lopez: Closed, Closed Defense
---------------------|Qc7|Nbd2;d5|C97 Ruy Lopez: Closed, Chigorin Defense
----------------------|Nbd2|cxd4|C97 Ruy Lopez: Closed, Chigorin Defense
-----------------------|cxd4||C97 Ruy Lopez: Closed, Chigorin Defense
----------------------|d5||C97 Ruy Lopez: Closed, Chigorin Defense
---------------------|Nd7||C96 Ruy Lopez: Closed, Closed Defense
--------------------|d3||C96 Ruy Lopez: Closed, Closed Defense
-------------------|d5||C96 Ruy Lopez: Closed, Closed Defense
------------------|d4||C92 Ruy Lopez: Closed
-----------------|Nb8|d4;d3|C94 Ruy Lopez: Morphy Defense, Breyer Defense
------------------|d4|Nbd7;Bb7|C95 Ruy Lopez: Closed, Breyer
-------------------|Nbd7|Nbd2;c4|C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
--------------------|Nbd2|Bb7;c5|C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
---------------------|Bb7|Bc2;a4|C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
----------------------|Bc2|Re8|C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
-----------------------|Re8||C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
----------------------|a4||C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
---------------------|c5||C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
--------------------|c4||C95 Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid
-------------------|Bb7||C95 Ruy Lopez: Closed, Breyer
------------------|d3||C94 Ruy Lopez: Morphy Defense, Breyer Defense
-----------------|Bb7|d4;d3|C92 Ruy Lopez: Closed, Flohr System
------------------|d4|Re8;Nd7|C92 Ruy Lopez: Closed, Flohr System
-------------------|Re8|Nbd2|C92 Ruy Lopez: Closed, Flohr System
--------------------|Nbd2||C92 Ruy Lopez: Closed, Flohr System
-------------------|Nd7||C92 Ruy Lopez: Closed, Flohr System
------------------|d3||C92 Ruy Lopez: Closed, Flohr System
-----------------|Re8||C92 Ruy Lopez: Closed
----------------|d4||C90 Ruy Lopez: Closed, Closed Defense
---------------|Na5||C88 Ruy Lopez: Closed
--------------|a4||C88 Ruy Lopez: Closed
-------------|O-O|c3;h3|C88 Ruy Lopez: Closed
--------------|c3|d6|C88 Ruy Lopez: Closed
---------------|d6||C88 Ruy Lopez: Closed
--------------|h3||C88 Ruy Lopez: Closed
-------------|Bb7||C88 Ruy Lopez: Closed
------------|c3||C84 Ruy Lopez: Closed
-----------|d6||C84 Ruy Lopez: Closed
----------|d3||C84 Ruy Lopez: Closed
---------|b5|Bb3|C78 Ruy Lopez: Morphy Defense
----------|Bb3|Bb7|C78 Ruy Lopez: Morphy Defense
-----------|Bb7||C78 Ruy Lopez: Morphy Defense
